Date;Kanton_Kurzname;VergütungCHF_Gebäudeprogramm;Massnahmenbereich
2019;FR;10526016;Total
2019;FR;4485216;Wärmedämmung
2019;FR;489841;Zentrale Wärmeversorgung
2019;GE;3374044;Haustechnik
2019;GE;537571;Neubau
2019;GE;1366440;Systemsanierung
2019;GE;10238229.4;Total
2019;GE;4623856;Wärmedämmung
2019;GE;0;Zentrale Wärmeversorgung
2019;GL;408251;Haustechnik
2019;GL;50000;Neubau
2019;GL;193920;Systemsanierung
2019;GL;1981258.5;Total
2019;GL;1170929;Wärmedämmung
2019;GL;102390;Zentrale Wärmeversorgung
2019;GR;2376992;Haustechnik
2019;GR;357221;Neubau
2019;GR;1825320;Systemsanierung
2019;GR;11877635;Total
2019;GR;6727710;Wärmedämmung
2019;GR;577700;Zentrale Wärmeversorgung
2019;JU;639755;Haustechnik
2019;JU;360395;Neubau
2019;JU;357540;Systemsanierung
2019;JU;2832033;Total
2019;JU;1224200;Wärmedämmung
2019;JU;247100;Zentrale Wärmeversorgung
2019;LU;1346545;Haustechnik
2019;LU;23532;Neubau
2019;LU;77950;Systemsanierung
2019;LU;9270955;Total
2019;LU;7530773;Wärmedämmung
2019;LU;66455;Zentrale Wärmeversorgung
2019;NE;459392;Haustechnik
2019;NE;57340;Neubau
2019;NE;252220;Systemsanierung
2019;NE;7319170;Total
2019;NE;6440429;Wärmedämmung
2019;NE;0;Zentrale Wärmeversorgung
2019;NW;210168;Haustechnik
2019;NW;0;Neubau
2019;NW;0;Systemsanierung
2019;NW;994732;Total
2019;NW;725940;Wärmedämmung
2019;NW;0;Zentrale Wärmeversorgung
2019;OW;226687;Haustechnik
2019;OW;30090;Neubau
2019;OW;166970;Systemsanierung
2019;OW;1213567;Total
2019;OW;779820;Wärmedämmung
2019;OW;0;Zentrale Wärmeversorgung
2019;SG;2447109.35;Haustechnik
2019;SG;537985;Neubau
2019;SG;6833987.5;Systemsanierung
2019;SG;19458360.15;Total
2019;SG;4057900;Wärmedämmung
2019;SG;3036876;Zentrale Wärmeversorgung
2019;SH;590874;Haustechnik
2019;SH;20840;Neubau
2019;SH;602160;Systemsanierung
2019;SH;2683020;Total
2019;SH;1318560;Wärmedämmung
2019;SH;48510;Zentrale Wärmeversorgung
2019;SO;569366;Haustechnik
2019;SO;12440;Neubau
2019;SO;24850;Systemsanierung
2019;SO;4698667;Total
2019;SO;3864194;Wärmedämmung
2019;SO;0;Zentrale Wärmeversorgung
2019;SZ;537961;Haustechnik
2019;SZ;0;Neubau
2019;SZ;0;Systemsanierung
2019;SZ;3020657;Total
2019;SZ;2402960;Wärmedämmung
2019;SZ;0;Zentrale Wärmeversorgung
2019;TG;3190742;Haustechnik
2019;TG;620530;Neubau
2019;TG;2483609;Systemsanierung
2019;TG;12191897;Total
2019;TG;4013888;Wärmedämmung
2019;TG;1175677;Zentrale Wärmeversorgung
2019;TI;1011217;Haustechnik
2019;TI;345675;Neubau
2019;TI;4082860;Systemsanierung
2019;TI;15020034;Total
2019;TI;8780430;Wärmedämmung
2019;TI;447331;Zentrale Wärmeversorgung
2019;UR;380180;Haustechnik
2019;UR;32100;Neubau
2019;UR;0;Systemsanierung
2019;UR;1319900;Total
2019;UR;854770;Wärmedämmung
2019;UR;0;Zentrale Wärmeversorgung
2019;VD;5412517;Haustechnik
2019;VD;1504215;Neubau
2019;VD;3583405;Systemsanierung
2019;VD;33139638;Total
2019;VD;21137591;Wärmedämmung
2019;VD;575089;Zentrale Wärmeversorgung
2019;VS;2390646;Haustechnik
2019;VS;113850;Neubau
2019;VS;4545154;Systemsanierung
2019;VS;16274270;Total
2019;VS;9000861;Wärmedämmung
2019;VS;56000;Zentrale Wärmeversorgung
2019;ZG;0;Haustechnik
2019;ZG;0;Neubau
2019;ZG;0;Systemsanierung
2019;ZG;1662270;Total
2019;ZG;1559270;Wärmedämmung
2019;ZG;0;Zentrale Wärmeversorgung
2019;ZH;471223;Haustechnik
2019;ZH;1853281;Neubau
2019;ZH;1971096.5;Systemsanierung
2019;ZH;26324263;Total
2019;ZH;21593020;Wärmedämmung
2019;ZH;305007.5;Zentrale Wärmeversorgung
2020;AG;189800;Haustechnik
2020;AG;132760;Neubau
2020;AG;743960;Systemsanierung
2020;AG;9289852;Total
2020;AG;7467420;Wärmedämmung
2020;AG;0;Zentrale Wärmeversorgung
2020;AI;117507;Haustechnik
2020;AI;136755;Neubau
2020;AI;547848;Systemsanierung
2020;AI;979550;Total
2020;AI;176240;Wärmedämmung
2020;AI;0;Zentrale Wärmeversorgung
2020;AR;385132;Haustechnik
2020;AR;29325;Neubau
2020;AR;198300;Systemsanierung
2020;AR;1860555;Total
2020;AR;1216881;Wärmedämmung
2020;AR;0;Zentrale Wärmeversorgung
2020;BE;17660609;Haustechnik
2020;BE;3395240;Neubau
2020;BE;28601520;Systemsanierung
2020;BE;54740252;Total
2020;BE;0;Wärmedämmung
2020;BE;2679649;Zentrale Wärmeversorgung
2020;BL;1911892;Haustechnik
2020;BL;1123637;Neubau
2020;BL;187490;Systemsanierung
2020;BL;9833968;Total
2020;BL;5998786;Wärmedämmung
2020;BL;54397;Zentrale Wärmeversorgung
2020;BS;3032001;Haustechnik
2020;BS;0;Neubau
2020;BS;281725;Systemsanierung
2020;BS;6458442;Total
2020;BS;3005478;Wärmedämmung
2020;BS;0;Zentrale Wärmeversorgung
2020;CH;62308148.35;Haustechnik
2020;CH;12482741.02;Indirekte Massnahmen
2020;CH;16104656;Neubau
2020;CH;72740284.4;Systemsanierung
2020;CH;298637756.4;Total
2020;CH;118946736;Wärmedämmung
2020;CH;16055190.6;Zentrale Wärmeversorgung
2020;FR;4239714.5;Haustechnik
2020;FR;1170974;Neubau
2020;FR;2450548;Systemsanierung
2020;FR;15153423.5;Total
2020;FR;5120968;Wärmedämmung
2020;FR;1981130;Zentrale Wärmeversorgung
2020;GE;1376572;Haustechnik
2020;GE;4455085;Neubau
2020;GE;2331941;Systemsanierung
2020;GE;13171584.27;Total
2020;GE;3591207;Wärmedämmung
2020;GE;566780;Zentrale Wärmeversorgung
2020;GL;480834;Haustechnik
2020;GL;16000;Neubau
2020;GL;432393;Systemsanierung
2020;GL;2903741.45;Total
2020;GL;1491803;Wärmedämmung
2020;GL;341420;Zentrale Wärmeversorgung
2020;GR;2568579;Haustechnik
2020;GR;195950;Neubau
2020;GR;2264400;Systemsanierung
2020;GR;12569934;Total
2020;GR;6893760;Wärmedämmung
2020;GR;589820;Zentrale Wärmeversorgung
2020;JU;729948;Haustechnik
2020;JU;194895;Neubau
2020;JU;671960;Systemsanierung
2020;JU;2589395;Total
2020;JU;753457;Wärmedämmung
2020;JU;231730;Zentrale Wärmeversorgung
2020;LU;4041001;Haustechnik
2020;LU;0;Neubau
2020;LU;0;Systemsanierung
2020;LU;9141277;Total
2020;LU;4744840;Wärmedämmung
2020;LU;0;Zentrale Wärmeversorgung
2020;NE;966476;Haustechnik
2020;NE;10950;Neubau
2020;NE;251580;Systemsanierung
2020;NE;6455621;Total
2020;NE;5122555;Wärmedämmung
2020;NE;0;Zentrale Wärmeversorgung
2020;NW;420689;Haustechnik
2020;NW;25500;Neubau
2020;NW;0;Systemsanierung
2020;NW;1087195;Total
2020;NW;609840;Wärmedämmung
2020;NW;0;Zentrale Wärmeversorgung
2020;OW;250730;Haustechnik
2020;OW;17325;Neubau
2020;OW;203770;Systemsanierung
2020;OW;1090825;Total
2020;OW;599100;Wärmedämmung
2020;OW;0;Zentrale Wärmeversorgung
2020;SG;3670319.25;Haustechnik
2020;SG;394445;Neubau
2020;SG;7490236.4;Systemsanierung
2020;SG;26053873.05;Total
2020;SG;5052130;Wärmedämmung
2020;SG;5872576.6;Zentrale Wärmeversorgung
2020;SH;1039422;Haustechnik
2020;SH;0;Neubau
2020;SH;376948;Systemsanierung
2020;SH;3445945;Total
2020;SH;1785501;Wärmedämmung
2020;SH;32810;Zentrale Wärmeversorgung
2020;SO;1362070;Haustechnik
2020;SO;249875;Neubau
2020;SO;231360;Systemsanierung
2020;SO;5263494;Total
2020;SO;3180824;Wärmedämmung
2020;SO;1400;Zentrale Wärmeversorgung
2020;SZ;663144;Haustechnik
2020;SZ;0;Neubau
2020;SZ;0;Systemsanierung
2020;SZ;2171761.7;Total
2020;SZ;1410480;Wärmedämmung
2020;SZ;0;Zentrale Wärmeversorgung
2020;TG;3018755;Haustechnik
2020;TG;632695;Neubau
2020;TG;3100175;Systemsanierung
2020;TG;11099179;Total
2020;TG;3039067;Wärmedämmung
2020;TG;526010;Zentrale Wärmeversorgung
2020;TI;1925746;Haustechnik
2020;TI;441600;Neubau
2020;TI;9132206;Systemsanierung
2020;TI;19341072;Total
2020;TI;6672040;Wärmedämmung
2020;TI;983371;Zentrale Wärmeversorgung
2020;UR;323600;Haustechnik
2020;UR;0;Neubau
2020;UR;43000;Systemsanierung
2020;UR;1581416.8;Total
2020;UR;1116678;Wärmedämmung
2020;UR;0;Zentrale Wärmeversorgung
2020;VD;6176820.6;Haustechnik
2020;VD;2315255;Neubau
2020;VD;3999421;Systemsanierung
2020;VD;34592228.6;Total
2020;VD;19084050;Wärmedämmung
2020;VD;2073437;Zentrale Wärmeversorgung
2020;VS;4761911;Haustechnik
2020;VS;472850;Neubau
2020;VS;5531516;Systemsanierung
2020;VS;17345024;Total
2020;VS;6507751;Wärmedämmung
2020;VS;13000;Zentrale Wärmeversorgung
2020;ZG;0;Haustechnik
2020;ZG;0;Neubau
2020;ZG;0;Systemsanierung
2020;ZG;2103088;Total
2020;ZG;2033760;Wärmedämmung
2020;ZG;0;Zentrale Wärmeversorgung
2020;ZH;994876;Haustechnik
2020;ZH;693540;Neubau
2020;ZH;3667987;Systemsanierung
2020;ZH;28315059;Total
2020;ZH;22272120;Wärmedämmung
2020;ZH;107660;Zentrale Wärmeversorgung
2021;AG;1549826;Haustechnik
2021;AG;431780;Neubau
2021;AG;438760;Systemsanierung
2021;AG;10679203;Total
2021;AG;7232910;Wärmedämmung
2021;AG;18000;Zentrale Wärmeversorgung
2021;AI;120081;Haustechnik
2021;AI;126755;Neubau
2021;AI;94495;Systemsanierung
2021;AI;516571;Total
2021;AI;171640;Wärmedämmung
2021;AI;0;Zentrale Wärmeversorgung
2021;AR;466782;Haustechnik
2021;AR;61080;Neubau
2021;AR;265340;Systemsanierung
2021;AR;2354299;Total
2021;AR;1496750;Wärmedämmung
2021;AR;0;Zentrale Wärmeversorgung
2021;BE;30525859;Haustechnik
2021;BE;4069060;Neubau
2021;BE;29140250;Systemsanierung
2021;BE;71710278;Total
2021;BE;0;Wärmedämmung
2021;BE;4518294;Zentrale Wärmeversorgung
2021;BL;6498767;Haustechnik
2021;BL;1298655;Neubau
2021;BL;372710;Systemsanierung
2021;BL;15659774.83;Total
2021;BL;6738883;Wärmedämmung
2021;BL;0;Zentrale Wärmeversorgung
2021;BS;3911014;Haustechnik
2021;BS;0;Neubau
2021;BS;214850;Systemsanierung
2021;BS;7356994;Total
2021;BS;3044105;Wärmedämmung
2021;BS;0;Zentrale Wärmeversorgung
2021;CH;106125105.9;Haustechnik
2021;CH;15922402.63;Indirekte Massnahmen
2021;CH;20080417;Neubau
2021;CH;81279134.8;Systemsanierung
2021;CH;361218783.1;Total
2021;CH;125965011.7;Wärmedämmung
2021;CH;11846711.1;Zentrale Wärmeversorgung
2021;FR;6487144;Haustechnik
2021;FR;1584093;Neubau
2021;FR;3626631;Systemsanierung
2021;FR;17970275.3;Total
2021;FR;5216658;Wärmedämmung
2021;FR;900940;Zentrale Wärmeversorgung
2021;GE;1742774;Haustechnik
2021;GE;2020565;Neubau
2021;GE;9463742;Systemsanierung
2021;GE;17555134;Total
2021;GE;3456054;Wärmedämmung
2021;GE;256205;Zentrale Wärmeversorgung
2021;GL;596184;Haustechnik
2021;GL;0;Neubau
2021;GL;398400;Systemsanierung
2021;GL;2405342.7;Total
2021;GL;1296861;Wärmedämmung
2021;GL;1600;Zentrale Wärmeversorgung
2021;GR;3654007.5;Haustechnik
2021;GR;439845;Neubau
2021;GR;1611900;Systemsanierung
2021;GR;12409012.5;Total
2021;GR;5604300;Wärmedämmung
2021;GR;1058020;Zentrale Wärmeversorgung
2021;JU;961498;Haustechnik
2021;JU;304415;Neubau
2021;JU;495565;Systemsanierung
2021;JU;3190301;Total
2021;JU;1302387;Wärmedämmung
2021;JU;120000;Zentrale Wärmeversorgung
2021;LU;4760635;Haustechnik
2021;LU;0;Neubau
2021;LU;195390;Systemsanierung
2021;LU;9341500;Total
2021;LU;3939080;Wärmedämmung
2021;LU;0;Zentrale Wärmeversorgung
2021;NE;1337568;Haustechnik
2021;NE;46125;Neubau
2021;NE;447491;Systemsanierung
2021;NE;8247141;Total
2021;NE;6135063;Wärmedämmung
2021;NE;100000;Zentrale Wärmeversorgung
2021;NW;537680;Haustechnik
2021;NW;30225;Neubau
2021;NW;0;Systemsanierung
